[2026-01-01T10:46:20.962Z] 开始构建搜索索引...
[2026-01-01T10:46:21.004Z] 搜索索引构建完成，耗时 41ms，共条目: 164
[2026-01-01T10:46:35.698Z] Request: GET /api/courses
[2026-01-01T10:46:35.717Z] Request: GET /api/courses
[2026-01-01T10:46:39.767Z] Request: GET /api/courses/layer-sunny-land
[2026-01-01T10:46:39.771Z] Request: GET /api/courses/layer-sunny-land
[2026-01-01T10:46:41.801Z] Request: GET /api/courses/layer-sunny-land
[2026-01-01T10:46:41.804Z] Request: GET /api/courses/layer-sunny-land
[2026-01-01T10:46:41.806Z] Request: GET /api/courses/layer-sunny-land/parts/intro
[2026-01-01T10:46:41.813Z] Request: GET /api/courses/layer-sunny-land/parts/intro
[2026-01-01T10:47:02.328Z] Request: GET /api/courses/layer-sunny-land
[2026-01-01T10:47:02.345Z] Request: GET /api/courses/layer-sunny-land/parts/environment-setup
[2026-01-01T10:48:29.761Z] Request: GET /api/courses
[2026-01-01T10:48:29.768Z] Request: GET /api/courses
[2026-01-01T10:48:33.799Z] Request: GET /api/courses/modular-ghost-escape
[2026-01-01T10:48:33.805Z] Request: GET /api/courses/modular-ghost-escape
[2026-01-01T10:48:35.351Z] Request: GET /api/courses/modular-ghost-escape
[2026-01-01T10:48:35.354Z] Request: GET /api/courses/modular-ghost-escape
[2026-01-01T10:48:35.357Z] Request: GET /api/courses/modular-ghost-escape/parts/part-01
[2026-01-01T10:48:35.366Z] Request: GET /api/courses/modular-ghost-escape/parts/part-01
